ID_Karyawan,nama_karyawan,departemen_karyawan,jabatan_karyawan,gaji_karyawan
9caeac0f-d369-410a-8e2a-38a8c2991163,Jennifer Whitaker,IT trainer,Town planner,5796.68
fc9dfd2d-d3d2-4095-ae86-ee0f50bb5a43,Lisa Jones,Media buyer,Counsellor,4832.55
ce2b2bc9-2ef9-41cd-8622-a55ffeb60bf0,April Walsh,Microbiologist,Fashion designer,6681.65
8d1d6fd7-7ac2-44ce-97c2-1dc916bf9723,Sandra Martinez,Tour manager,Airline pilot,6553.75
bc85b5c7-2764-4ade-b3af-b1a3e546bec2,Sandra Williams,"Social research officer, government",Tree surgeon,6599.87
2f74d21d-de4f-4c75-8467-7248a2239341,Anne Blake,"Psychologist, forensic",Chief Technology Officer,3837.48
8e6b295e-441e-4ad8-99f2-bf4a058da5b0,Grant Wade,Automotive engineer,Historic buildings inspector/conservation officer,9526.75
faf21bf9-6f63-4b85-9249-858c18c6d921,Keith Hammond,"Conservation officer, nature",Trade union research officer,3443.28
53872a5f-002e-45ab-a9a1-46cfc75985a2,Darlene Bowen,"Embryologist, clinical",Probation officer,8777.28
28013e49-a808-4f23-ae29-b0286c0a2b8a,Anna Perez,Industrial buyer,"Administrator, arts",8964.84
f7070bde-16be-445f-89ed-06c61a6a4066,Sarah Eaton,Furniture conservator/restorer,"Engineer, petroleum",9921.94
3de794b4-ef2a-4299-8f6d-4b044c302d33,Steven Hart,Agricultural engineer,Retail banker,9651.56
8b787844-0525-43ad-a136-eb7d5eb8ed9d,Lori Evans,Secretary/administrator,Translator,6826.72
153dbd2a-5777-426c-8962-efc1173f879b,Tammie Anderson,"Radiographer, therapeutic",Geophysicist/field seismologist,9867.81
8b43bcae-037c-4f5d-acf5-b6eaffb705c5,Miguel Hunter,Trade mark attorney,"Biochemist, clinical",8904.38
e3f7c384-d451-4296-82cf-40488413b624,Mrs. Catherine Hughes,Web designer,Environmental health practitioner,4164.08
0e5c4f86-5828-4006-bee8-9889149c7b8b,Patricia Jones,Acupuncturist,Mudlogger,3518.49
